Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,000,000",-,-,"$480,000,000",100%
2,Too Cool to Kill,"$217,000,000",-,-,"$217,000,000",100%
3,Scream,"$129,464,409","$74,264,409",57.4%,"$55,200,000",42.6%
4,Jackass Forever,"$49,227,546","$39,227,546",79.7%,"$10,000,000",20.3%
5,Death on the Nile,"$36,431,129","$15,513,976",42.6%,"$20,917,153",57.4%
6,The 355,"$26,315,338","$14,516,675",55.2%,"$11,798,663",44.8%
7,Uncharted,"$21,500,000",-,-,"$21,500,000",100%
8,Moonfall,"$21,477,887","$15,952,150",74.3%,"$5,525,737",25.7%
9,Marry Me,"$19,603,505","$10,989,505",56.1%,"$8,614,000",43.9%
10,Redeeming Love,"$9,087,233","$8,907,135",98%,"$180,098",2%
11,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%
12,Wunderschön,"$6,300,000",-,-,"$6,300,000",100%
13,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%
14,Adieu Monsieur Haffmann,"$5,228,647",-,-,"$5,228,647",100%
15,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%
16,Between Two Worlds,"$4,585,100",-,-,"$4,585,100",100%
17,Blacklight,"$4,304,489","$4,304,489",100%,-,-
18,Waiting for Bojangles,"$4,303,706",-,-,"$4,303,706",100%
19,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%
20,Super-héros malgré lui,"$3,822,691",-,-,"$3,822,691",100%
21,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%
22,Chia Khoa Tram Ty,"$2,597,972",-,-,"$2,597,972",100%
23,The Beatles: Get Back - The Rooftop Concert,"$2,130,269","$930,269",43.7%,"$1,200,000",56.3%
24,Beautiful Minds,"$2,029,652",-,-,"$2,029,652",100%
25,Vaillante,"$1,876,045",-,-,"$1,876,045",100%
26,Chuyen Ma Gan Nhà,"$1,795,484",-,-,"$1,795,484",100%
27,The King's Daughter,"$1,730,793","$1,730,793",100%,-,-
28,Aslan Hürkus Kayip Elmas,"$1,685,827",-,-,"$1,685,827",100%
29,Hridayam,"$1,622,784",-,-,"$1,622,784",100%
30,Promises,"$1,612,244",-,-,"$1,612,244",100%
31,Gierek,"$1,531,831",-,-,"$1,531,831",100%
32,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
33,For Ziko,"$1,360,668",-,-,"$1,360,668",100%
