Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,051,716",-,-,"$480,051,716",100%
2,Too Cool to Kill,"$217,100,377","$72,432",<0.1%,"$217,027,945",100%
3,Uncharted,"$139,000,000","$51,000,000",36.7%,"$88,000,000",63.3%
4,Scream,"$134,640,539","$77,340,539",57.4%,"$57,300,000",42.6%
5,Death on the Nile,"$76,134,032","$26,234,032",34.5%,"$49,900,000",65.5%
6,Jackass Forever,"$60,993,627","$47,693,627",78.2%,"$13,300,000",21.8%
7,Marry Me,"$36,565,665","$17,432,665",47.7%,"$19,133,000",52.3%
8,Moonfall,"$33,305,591","$17,943,483",53.9%,"$15,362,108",46.1%
9,The 355,"$26,318,824","$14,560,430",55.3%,"$11,758,394",44.7%
10,Dog,"$18,011,000","$18,011,000",100%,-,-
11,Redeeming Love,"$9,305,923","$9,125,825",98.1%,"$180,098",1.9%
12,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%
13,Blacklight,"$7,804,174","$7,326,030",93.9%,"$478,144",6.1%
14,Super-héros malgré lui,"$7,375,119",-,-,"$7,375,119",100%
15,Wunderschön,"$6,300,000",-,-,"$6,300,000",100%
16,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%
17,Adieu Monsieur Haffmann,"$5,602,844",-,-,"$5,602,844",100%
18,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%
19,Waiting for Bojangles,"$4,405,010",-,-,"$4,405,010",100%
20,Vaillante,"$4,082,190",-,-,"$4,082,190",100%
21,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%
22,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%
23,Between Two Worlds,"$3,157,368",-,-,"$3,157,368",100%
24,Beautiful Minds,"$2,784,162",-,-,"$2,784,162",100%
25,Chia Khoa Tram Ty,"$2,597,972",-,-,"$2,597,972",100%
26,Disobedient,"$2,325,327",-,-,"$2,325,327",100%
27,The Beatles: Get Back - The Rooftop Concert,"$2,134,118","$934,118",43.8%,"$1,200,000",56.2%
28,Promises,"$2,101,180",-,-,"$2,101,180",100%
