Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Mali Twist,"$956,475",-,956475,2022.csv,2022,-,100%
2,Detective Conan: The Scarlet Bullet,"$95,580,715",-,95580715,2021.csv,2021,-,100%
3,Meppadiyan,"$94,996",-,94996,2022.csv,2022,-,100%
4,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,92246218,2021.csv,2021,-,100%
5,End Game,"$91,824,961","$23,149",91801812,2021.csv,2021,<0.1%,100%
6,The Battle at Lake Changjin,"$902,540,935","$342,411",902198524,2021.csv,2021,<0.1%,100%
7,Old,"$90,112,510","$48,242,510",41870000,2021.csv,2021,53.5%,46.5%
8,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,9735732,2021.csv,2021,-,100%
9,Stolen Identity 2,"$9,687,188",-,9687188,2020.csv,2020,-,100%
10,Black Box,"$9,685,061",-,9685061,2021.csv,2021,-,100%
11,The Soul,"$9,600,000",-,9600000,2021.csv,2021,-,100%
12,¡A todo tren! Destino Asturias,"$9,544,171",-,9544171,2021.csv,2021,-,100%
13,Baragaki: Unbroken Samurai,"$9,481,437",-,9481437,2021.csv,2021,-,100%
14,10 Days with Dad,"$9,472,077","$2,359",9469718,2020.csv,2020,<0.1%,100%
15,Secret Zoo,"$9,471,940",-,9471940,2020.csv,2020,-,100%
16,365 Days,"$9,458,590",-,9458590,2020.csv,2020,-,100%
17,Okay Madam,"$9,433,525",-,9433525,2020.csv,2020,-,100%
18,L'appel de la forêt,"$9,317,347",-,9317347,2020.csv,2020,-,100%
19,Shooter,"$9,204",-,9204,2022.csv,2022,-,100%
20,Redeeming Love,"$9,128,793","$8,948,695",180098,2022.csv,2022,98%,2%
21,Inception 10th Anniversary re-release,"$9,100,000",-,9100000,2020.csv,2020,-,100%
22,The Closet,"$9,036,145",-,9036145,2020.csv,2020,-,100%
23,The Vault,"$9,022,920",-,9022920,2021.csv,2021,-,100%
24,The Tiger Rising,"$882,128","$835,162",46966,2022.csv,2022,94.7%,5.3%
25,Flight 666,"$87,997",-,87997,2022.csv,2022,-,100%
26,Mortal Kombat,"$83,726,031","$42,326,031",41400000,2021.csv,2021,50.6%,49.4%
27,The Souvenir,"$827,620",-,827620,2022.csv,2022,-,100%
28,My Brothers and I,"$825,312",-,825312,2022.csv,2022,-,100%
29,"Hi, Mom","$822,009,764",-,822009764,2021.csv,2021,-,100%
30,Ghosts of the Ozarks,"$81,210",-,81210,2022.csv,2022,-,100%
31,Caught in Time,"$80,543,319",-,80543319,2020.csv,2020,-,100%
32,Malasaña 32,"$8,968,845",-,8968845,2020.csv,2020,-,100%
33,Break the Silence: The Movie,"$8,954,345",-,8954345,2020.csv,2020,-,100%
34,WarHunt,"$8,953",-,8953,2022.csv,2022,-,100%
35,I Hate Summer,"$8,926,071",-,8926071,2020.csv,2020,-,100%
36,100% Wolf,"$8,906,757","$658,764",8247993,2020.csv,2020,7.4%,92.6%
37,All About My Mother,"$8,900,000",-,8900000,2021.csv,2021,-,100%
