Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020.csv,2020
2,Demon Slayer: Mugen Train,"$454,779,627","$49,505,008",10.9%,"$405,274,619",89.1%,2020.csv,2020
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020.csv,2020
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020.csv,2020
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%,2020.csv,2020
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020.csv,2020
7,Dolittle,"$245,438,444","$77,047,065",31.4%,"$168,391,379",68.6%,2020.csv,2020
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%,2020.csv,2020
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020.csv,2020
10,The Croods 2: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020.csv,2020
11,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020.csv,2020
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020.csv,2020
13,Wonder Woman 1984,"$166,801,036","$46,801,036",28.1%,"$120,000,000",71.9%,2020.csv,2020
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020.csv,2020
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%,2020.csv,2020
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020.csv,2020
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020.csv,2020
18,Soul,"$120,957,731",-,-,"$120,957,731",100%,2020.csv,2020
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%,2020.csv,2020
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,2020.csv,2020
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,2020.csv,2020
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%,2020.csv,2020
23,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%,2020.csv,2020
24,The Rescue,"$64,195,986","$18,797",<0.1%,"$64,177,189",100%,2020.csv,2020
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,2020.csv,2020
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%,2020.csv,2020
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,2020.csv,2020
28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%,2020.csv,2020
29,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%,2020.csv,2020
30,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%,2020.csv,2020
31,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,2020.csv,2020
32,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%,2020.csv,2020
33,Trolls World Tour,"$47,196,831",-,-,"$47,196,831",100%,2020.csv,2020
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,2020.csv,2020
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,2020.csv,2020
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,2020.csv,2020
