Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,028,494",-,-,"$480,028,494",100%
2,Too Cool to Kill,"$217,000,000",-,-,"$217,000,000",100%
3,Scream,"$129,768,594","$74,568,594",57.5%,"$55,200,000",42.5%
4,Jackass Forever,"$50,382,462","$40,105,833",79.6%,"$10,276,629",20.4%
5,Death on the Nile,"$37,949,499","$17,032,346",44.9%,"$20,917,153",55.1%
6,The 355,"$26,291,706","$14,529,065",55.3%,"$11,762,641",44.7%
7,Moonfall,"$24,949,833","$16,285,954",65.3%,"$8,663,879",34.7%
8,Uncharted,"$21,500,000",-,-,"$21,500,000",100%
9,Marry Me,"$20,635,930","$12,021,930",58.3%,"$8,614,000",41.7%
10,Redeeming Love,"$9,128,793","$8,948,695",98%,"$180,098",2%
11,The Pirates: The Last Royal Treasure,"$8,821,090",-,-,"$8,821,090",100%
12,Super-héros malgré lui,"$7,375,119",-,-,"$7,375,119",100%
13,Wunderschön,"$6,300,000",-,-,"$6,300,000",100%
14,The Policeman's Lineage,"$5,613,691",-,-,"$5,613,691",100%
15,Adieu Monsieur Haffmann,"$5,602,844",-,-,"$5,602,844",100%
16,Blacklight,"$5,060,238","$4,772,866",94.3%,"$287,372",5.7%
17,Kingmaker,"$4,998,561",-,-,"$4,998,561",100%
18,Between Two Worlds,"$4,847,590",-,-,"$4,847,590",100%
19,Waiting for Bojangles,"$4,405,010",-,-,"$4,405,010",100%
20,Vaillante,"$4,082,190",-,-,"$4,082,190",100%
21,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,-,"$3,871,192",100%
22,Special Delivery,"$3,464,888",-,-,"$3,464,888",100%
23,Beautiful Minds,"$2,784,162",-,-,"$2,784,162",100%
24,Chia Khoa Tram Ty,"$2,597,972",-,-,"$2,597,972",100%
25,The Beatles: Get Back - The Rooftop Concert,"$2,130,269","$930,269",43.7%,"$1,200,000",56.3%
26,Promises,"$2,101,180",-,-,"$2,101,180",100%
27,The Young Lovers,"$1,816,970",-,-,"$1,816,970",100%
28,Chuyen Ma Gan Nhà,"$1,795,484",-,-,"$1,795,484",100%
29,The King's Daughter,"$1,730,793","$1,730,793",100%,-,-
30,Hridayam,"$1,713,508",-,-,"$1,713,508",100%
31,Aslan Hürkus Kayip Elmas,"$1,685,827",-,-,"$1,685,827",100%
32,"8 rzeczy, których nie wiecie o facetach","$1,554,861",-,-,"$1,554,861",100%
33,Gierek,"$1,531,831",-,-,"$1,531,831",100%
34,For Ziko,"$1,446,445",-,-,"$1,446,445",100%
35,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
36,Nhà Khong Bán,"$1,216,452",-,-,"$1,216,452",100%
37,The Beatles: Get Back,"$1,214,743",-,-,"$1,214,743",100%
38,Swingers,"$1,139,284",-,-,"$1,139,284",100%
39,1990,"$1,071,242",-,-,"$1,071,242",100%
40,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
41,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
42,A Radiant Girl,"$1,012,800",-,-,"$1,012,800",100%
43,Mali Twist,"$956,475",-,-,"$956,475",100%
44,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
45,The Souvenir,"$827,620",-,-,"$827,620",100%
46,My Brothers and I,"$825,312",-,-,"$825,312",100%
47,Heart to Heart,"$759,972",-,-,"$759,972",100%
48,Placés,"$759,453",-,-,"$759,453",100%
